Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Seed Source]	Factor Value[Accession]	Term Source REF	Term Accession Number	Factor Value[Organism Part]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Parental Treatment Light Cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Parental Treatment Growth Medium]	Parameter Value[Parental Treatment Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[Parental Treatment Growth Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Hardware]	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[light regimen]	Term Source REF	Term Accession Number	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Color]	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[vehicle]	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number
GC11-1R	GC11-1R	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Bd21			Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Ground Control	OSD	https://osdr.nasa.gov/	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC11-1S	GC11-1S	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Bd21			Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Ground Control	OSD	https://osdr.nasa.gov/	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC5-1R	GC5-1R	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Bd21			Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Ground Control	OSD	https://osdr.nasa.gov/	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC5-1S	GC5-1S	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Bd21			Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Ground Control	OSD	https://osdr.nasa.gov/	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC9-1R	GC9-1R	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Bd21			Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Ground Control	OSD	https://osdr.nasa.gov/	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
GC9-1S	GC9-1S	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Bd21			Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Ground Control	OSD	https://osdr.nasa.gov/	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
FL10-1R	FL10-1R	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Bd21-3			Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1.397	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.349	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
FL10-1S	FL10-1S	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Bd21-3			Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1.397	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.349	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
FL12-1R	FL12-1R	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Gaz8			Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1.397	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.349	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
FL12-1S	FL12-1S	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Gaz8			Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1.397	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.349	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
FL2-1R	FL2-1R	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Gaz8			Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1.397	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.349	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
FL2-1S	FL2-1S	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Gaz8			Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1.397	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.349	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
FL3-1R	FL3-1R	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Bd21-3			Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1.397	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.349	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
FL3-1S	FL3-1S	Brachypodium distachyon	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/15368	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Drs. Daniel Wood and Richard Amasino (University of Wisconsin-Madison)	Bd21-3			Plant Shoots	MESH	http://purl.bioontology.org/ontology/MESH/D018520	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	parental treatment protocol	20:4 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Berger Soil, BM2: Perlite: Vermiculite 2:1:1	100-120	micromole per square meter per second	OSD	https://osdr.nasa.gov/	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	APEX Growth Unit	OSD	https://osdr.nasa.gov/	half-strength Murashige and Skoog (MS: Sigma M5624 and MES: M2933) liquid medium	OSD	https://osdr.nasa.gov/	40-55	micromole per square meter per second	OSD	https://osdr.nasa.gov/	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	red light during germination and green/blue/red light during seedling growth	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	radiation dosimetry	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033	1.397	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.349	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
